program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.5923076923076922,1.5346153846153845,1.4192307692307693,1.5653846153846152,1.4942307692307693,1.3057692307692306
bv,19,10.944444444444445,10.944444444444445,8.125,8.120370370370372,7.222222222222222,7.763888888888889
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336
knn,25,1.4761904761904763,1.2202380952380953,1.2142857142857142,1.1299603174603174,1.0625,1.0069444444444444
multiplier,15,2.5315315315315314,2.282282282282283,1.9864864864864864,1.8393393393393407,1.7263513513513513,1.6843093093093089
qec9xz,17,6.875,5.333333333333334,3.46875,5.231770833333331,3.9765625,4.273437499999999
qft,18,1.7777777777777777,2.0179738562091503,1.5318627450980393,1.4972766884531625,1.3218954248366013,1.410675381263617
qpeexact,16,3.1538461538461537,2.885897435897434,2.226923076923077,2.0717948717948755,2.126923076923077,2.350641025641026
qram,20,2.753846153846154,2.730769230769231,2.526923076923077,2.2916666666666683,2.223076923076923,2.257051282051282
sat,11,1.876984126984127,1.3802910052910051,1.4166666666666667,1.388227513227513,1.3224206349206349,1.1306216931216935
swap_test,25,1.4285714285714286,1.2182539682539681,1.2142857142857142,1.0158730158730158,1.0654761904761905,0.9950396825396824
wstate,27,1.0,0.9903846153846154,1.4711538461538463,0.9903846153846154,0.9903846153846154,0.9855769230769231
